,Latitude,Longitude
autoweedhsc-20210627-115850.811728.jpg,-18.8141049900,146.138976620
autoweedhsc-20210627-115850.863321.jpg,-18.8141049900,146.138976620
autoweedhsc-20210627-115850.916165.jpg,-18.8141049900,146.138976620
autoweedhsc-20210627-115850.968195.jpg,-18.8140857633,146.138965233
autoweedhsc-20210627-115851.019419.jpg,-18.8140857633,146.138965233
autoweedhsc-20210627-115851.071261.jpg,-18.8140857633,146.138965233
autoweedhsc-20210627-115851.123487.jpg,-18.8140857633,146.138965233
autoweedhsc-20210627-115851.234039.jpg,-18.8140664950,146.138953772
autoweedhsc-20210627-115851.289392.jpg,-18.8140664950,146.138953772
autoweedhsc-20210627-115851.341280.jpg,-18.8140664950,146.138953772
autoweedhsc-20210627-115851.396593.jpg,-18.8140471867,146.138942345
autoweedhsc-20210627-115851.449134.jpg,-18.8140471867,146.138942345
autoweedhsc-20210627-115851.501062.jpg,-18.8140471867,146.138942345
autoweedhsc-20210627-115851.555255.jpg,-18.8140278617,146.138930878
autoweedhsc-20210627-115851.614360.jpg,-18.8140278617,146.138930878
autoweedhsc-20210627-115851.665996.jpg,-18.8140278617,146.138930878
autoweedhsc-20210627-115851.720460.jpg,-18.8140278617,146.138930878
autoweedhsc-20210627-115851.775123.jpg,-18.8140084133,146.138919367
autoweedhsc-20210627-115851.827069.jpg,-18.8140084133,146.138919367
autoweedhsc-20210627-115851.879931.jpg,-18.8140084133,146.138919367
autoweedhsc-20210627-115851.932299.jpg,-18.8140084133,146.138919367
autoweedhsc-20210627-115851.988723.jpg,-18.8139889900,146.138907768
autoweedhsc-20210627-115852.043408.jpg,-18.8139889900,146.138907768
autoweedhsc-20210627-115852.096238.jpg,-18.8139889900,146.138907768
autoweedhsc-20210627-115852.150463.jpg,-18.8139695250,146.138896180
autoweedhsc-20210627-115852.205077.jpg,-18.8139695250,146.138896180
autoweedhsc-20210627-115852.260175.jpg,-18.8139695250,146.138896180
autoweedhsc-20210627-115852.314560.jpg,-18.8139695250,146.138896180
autoweedhsc-20210627-115852.368650.jpg,-18.8139501117,146.138884575
autoweedhsc-20210627-115852.422523.jpg,-18.8139501117,146.138884575
autoweedhsc-20210627-115852.478334.jpg,-18.8139501117,146.138884575
autoweedhsc-20210627-115852.531016.jpg,-18.8139501117,146.138884575
autoweedhsc-20210627-115852.585189.jpg,-18.8139307033,146.138872990
autoweedhsc-20210627-115852.638174.jpg,-18.8139307033,146.138872990
autoweedhsc-20210627-115852.695281.jpg,-18.8139307033,146.138872990
autoweedhsc-20210627-115852.749507.jpg,-18.8139113783,146.138861472
autoweedhsc-20210627-115852.802875.jpg,-18.8139113783,146.138861472
autoweedhsc-20210627-115852.857502.jpg,-18.8139113783,146.138861472
autoweedhsc-20210627-115852.914734.jpg,-18.8139113783,146.138861472
autoweedhsc-20210627-115852.968619.jpg,-18.8138921033,146.138849973
autoweedhsc-20210627-115853.025567.jpg,-18.8138921033,146.138849973
autoweedhsc-20210627-115853.083972.jpg,-18.8138921033,146.138849973
autoweedhsc-20210627-115853.138712.jpg,-18.8138921033,146.138849973
autoweedhsc-20210627-115853.194889.jpg,-18.8138729200,146.138838497
autoweedhsc-20210627-115853.248914.jpg,-18.8138729200,146.138838497
autoweedhsc-20210627-115853.302555.jpg,-18.8138729200,146.138838497
autoweedhsc-20210627-115853.359447.jpg,-18.8138535583,146.138826927
autoweedhsc-20210627-115853.416537.jpg,-18.8138535583,146.138826927
autoweedhsc-20210627-115853.469900.jpg,-18.8138535583,146.138826927
autoweedhsc-20210627-115853.523208.jpg,-18.8138535583,146.138826927
autoweedhsc-20210627-115853.580629.jpg,-18.8138343250,146.138815443
autoweedhsc-20210627-115853.633347.jpg,-18.8138343250,146.138815443
autoweedhsc-20210627-115853.686683.jpg,-18.8138343250,146.138815443
autoweedhsc-20210627-115853.739622.jpg,-18.8138343250,146.138815443
autoweedhsc-20210627-115853.795149.jpg,-18.8138149400,146.138803977
autoweedhsc-20210627-115853.848450.jpg,-18.8138149400,146.138803977
autoweedhsc-20210627-115853.901694.jpg,-18.8138149400,146.138803977
autoweedhsc-20210627-115853.964249.jpg,-18.8137955150,146.138792467
autoweedhsc-20210627-115854.022087.jpg,-18.8137955150,146.138792467
autoweedhsc-20210627-115854.077935.jpg,-18.8137955150,146.138792467
autoweedhsc-20210627-115854.135482.jpg,-18.8137955150,146.138792467
autoweedhsc-20210627-115854.195336.jpg,-18.8137759833,146.138780885
autoweedhsc-20210627-115854.254054.jpg,-18.8137759833,146.138780885
autoweedhsc-20210627-115854.306813.jpg,-18.8137759833,146.138780885
autoweedhsc-20210627-115854.365219.jpg,-18.8137564900,146.138769278
autoweedhsc-20210627-115854.425079.jpg,-18.8137564900,146.138769278
autoweedhsc-20210627-115854.482257.jpg,-18.8137564900,146.138769278
autoweedhsc-20210627-115854.535798.jpg,-18.8137564900,146.138769278
autoweedhsc-20210627-115855.506428.jpg,-18.8136579567,146.138710653
autoweedhsc-20210627-115855.852303.jpg,-18.8136184550,146.138686878
autoweedhsc-20210627-115855.916749.jpg,-18.8136184550,146.138686878
autoweedhsc-20210627-115855.972782.jpg,-18.8135986850,146.138675013
autoweedhsc-20210627-115856.244782.jpg,-18.8135788583,146.138663148
autoweedhsc-20210627-115906.488587.jpg,-18.8124954717,146.138020418
autoweedhsc-20210627-115906.634086.jpg,-18.8124733717,146.138007245
autoweedhsc-20210627-115906.708408.jpg,-18.8124733717,146.138007245
autoweedhsc-20210627-115906.792960.jpg,-18.8124512017,146.137993965
autoweedhsc-20210627-115906.924002.jpg,-18.8124512017,146.137993965
autoweedhsc-20210627-115907.545947.jpg,-18.8123845900,146.137953973
autoweedhsc-20210627-115908.050885.jpg,-18.8123179183,146.137914028
autoweedhsc-20210627-115908.157193.jpg,-18.8122956583,146.137900668
autoweedhsc-20210627-115908.216615.jpg,-18.8122956583,146.137900668
autoweedhsc-20210627-115908.268285.jpg,-18.8122956583,146.137900668
autoweedhsc-20210627-115908.321742.jpg,-18.8122956583,146.137900668
autoweedhsc-20210627-115909.048644.jpg,-18.8122072817,146.137847747
autoweedhsc-20210627-115911.319116.jpg,-18.8119642467,146.137701958
autoweedhsc-20210627-115911.401497.jpg,-18.8119422017,146.137688685
autoweedhsc-20210627-115911.497680.jpg,-18.8119422017,146.137688685
autoweedhsc-20210627-115911.568932.jpg,-18.8119201350,146.137675515
autoweedhsc-20210627-115912.185569.jpg,-18.8118540933,146.137635957
autoweedhsc-20210627-115912.280649.jpg,-18.8118540933,146.137635957
autoweedhsc-20210627-115915.855558.jpg,-18.8114570417,146.137400705
autoweedhsc-20210627-115920.870452.jpg,-18.8108861050,146.137117007
autoweedhsc-20210627-115921.327047.jpg,-18.8108397517,146.137095977
autoweedhsc-20210627-115921.668537.jpg,-18.8107931933,146.137075067
