Latitude,Longitude
-19.26157059,146.7309596
-19.26157059,146.7309596
-19.26157059,146.7309596
-19.2615721,146.7309593
-19.2615721,146.7309593
-19.2615721,146.7309593
-19.2615721,146.7309593
-19.26157019,146.7309593
-19.26157019,146.7309593
-19.26157019,146.7309593
-19.26157019,146.7309593
-19.26157019,146.7309593
-19.26156706,146.7309596
-19.26156706,146.7309596
-19.26156657,146.7309592
-19.26156657,146.7309592
-19.26156657,146.7309592
-19.26156657,146.7309592
-19.26156603,146.7309592
-19.26156603,146.7309592
-19.26156603,146.7309592
-19.26156603,146.7309592
-19.26156408,146.7309592
-19.26156408,146.7309592
-19.26156408,146.7309592
-19.26156408,146.7309592
-19.26156421,146.7309581
-19.26156421,146.7309581
-19.26156421,146.7309581
-19.26156421,146.7309581
-19.26156408,146.730959
-19.26156408,146.730959
-19.26156408,146.730959
-19.26156408,146.730959
-19.26156408,146.730959
-19.26156423,146.73096
-19.26156423,146.73096
-19.26156423,146.73096
-19.26156588,146.7309603
-19.26156588,146.7309603
-19.26156588,146.7309603
-19.26156588,146.7309603
-19.26156506,146.7309596
-19.26156506,146.7309596
-19.26156506,146.7309596
-19.2615661,146.7309612
-19.2615661,146.7309612
-19.2615661,146.7309612
-19.2615661,146.7309612
-19.26156514,146.730961
-19.26156514,146.730961
-19.26156411,146.7309606
-19.26156411,146.7309606
-19.26156411,146.7309606
-19.26156411,146.7309606
-19.26156136,146.7309592
-19.26156136,146.7309592
-19.26156136,146.7309592
-19.26156136,146.7309592
-19.26156004,146.7309595
-19.26156004,146.7309595
-19.26156004,146.7309595
-19.26156004,146.7309595
-19.26156595,146.7309567
-19.26156595,146.7309567
-19.26156595,146.7309567
-19.2615446,146.7309633
-19.2615446,146.7309633
-19.2615446,146.7309633
-19.2615446,146.7309633
-19.26153671,146.7309651
-19.26153671,146.7309651
-19.26153671,146.7309651
-19.26153671,146.7309651
-19.26155305,146.7309584
-19.26155305,146.7309584
-19.26155305,146.7309584
-19.26155305,146.7309584
-19.26156106,146.7309566
-19.26156106,146.7309566
-19.26156106,146.7309566
-19.26156106,146.7309566
-19.26156106,146.7309566
-19.26154374,146.7309617
-19.26154374,146.7309617
-19.26154374,146.7309617
-19.26156095,146.7309578
-19.26156095,146.7309578
-19.26156095,146.7309578
-19.26156095,146.7309578
-19.26156736,146.7309554
-19.26156736,146.7309554
-19.26156736,146.7309554
-19.26156736,146.7309554
-19.26154919,146.7309635
-19.26154919,146.7309635
-19.26154919,146.7309635
-19.26154919,146.7309635
-19.26154602,146.7309639
-19.26154602,146.7309639
-19.26154602,146.7309639
-19.26154602,146.7309639
-19.26154248,146.7309634
-19.26154248,146.7309634
-19.26154248,146.7309634
-19.26154248,146.7309634
-19.26156164,146.7309569
-19.26156164,146.7309569
-19.26156164,146.7309569
-19.26156164,146.7309569
-19.26155975,146.7309561
-19.26155975,146.7309561
-19.26155975,146.7309561
-19.26155975,146.7309561
-19.26156594,146.7309547
-19.26156594,146.7309547
-19.26156594,146.7309547
-19.26156594,146.7309547
-19.26155045,146.7309588
-19.26155045,146.7309588
-19.26155045,146.7309588
-19.26155045,146.7309588
-19.26155937,146.7309558
-19.26155937,146.7309558
-19.26155937,146.7309558
-19.26155937,146.7309558
-19.26157115,146.7309539
-19.26157115,146.7309539
-19.26157115,146.7309539
-19.26157886,146.7309513
-19.26157886,146.7309513
-19.26157886,146.7309513
-19.26158892,146.7309486
-19.26158892,146.7309486
-19.26158892,146.7309486
-19.26156113,146.7309571
-19.26156113,146.7309571
-19.26156113,146.7309571
-19.26156113,146.7309571
-19.26156361,146.7309555
-19.26156361,146.7309555
-19.26156361,146.7309555
-19.26156363,146.730955
